,0
0,13.456058502197266
1,16.799840927124023
2,12.090173721313477
3,18.150217056274414
4,11.347393035888672
5,15.581180572509766
6,11.557954788208008
7,8.339950561523438
8,11.458501815795898
9,15.709118843078613
10,17.142629623413086
11,24.432418823242188
12,23.331928253173828
13,27.057727813720703
14,18.677785873413086
15,23.753942489624023
16,20.410890579223633
17,21.250324249267578
18,26.757366180419922
19,56.98933410644531
20,35.01054382324219
21,42.2681999206543
22,34.02212905883789
23,50.1541862487793
24,41.04864501953125
25,32.75543212890625
26,46.28346252441406
27,38.33453369140625
28,47.231529235839844
29,41.39893341064453
30,59.47635269165039
31,48.80461883544922
32,66.3741226196289
33,51.718299865722656
34,79.56957244873047
35,53.71956253051758
36,48.84333038330078
37,26.9372615814209
38,51.02299499511719
39,69.56749725341797
40,46.026268005371094
41,42.2706413269043
42,47.68374252319336
43,75.92374420166016
44,44.78694152832031
45,65.00772857666016
46,73.86161041259766
47,61.82878494262695
48,42.92326354980469
49,28.890974044799805
50,63.925716400146484
51,49.92955780029297
52,65.3906021118164
53,31.195463180541992
54,30.845516204833984
55,31.382680892944336
56,58.34231948852539
57,72.0953369140625
58,71.73716735839844
59,71.68681335449219
60,85.0878677368164
61,105.20137786865234
62,164.3555908203125
63,138.3255615234375
64,108.72907257080078
65,155.17349243164062
66,230.7611083984375
67,244.08323669433594
68,145.43899536132812
69,184.87704467773438
70,201.34117126464844
71,246.95449829101562
72,170.46693420410156
73,150.4654998779297
74,165.4215545654297
75,175.35748291015625
76,135.86419677734375
77,97.79817962646484
78,66.8486557006836
79,67.1202392578125
80,64.6613540649414
81,72.95181274414062
82,81.54562377929688
83,47.5093994140625
84,28.920854568481445
85,25.370519638061523
86,22.934368133544922
87,33.256103515625
88,25.58402442932129
89,33.260494232177734
90,22.125446319580078
91,16.792654037475586
92,11.709260940551758
93,19.423168182373047
94,12.831779479980469
95,11.247895240783691
96,8.993355751037598
97,22.12685775756836
98,18.89449119567871
99,10.857779502868652
100,9.533255577087402
101,7.682187557220459
102,7.317300319671631
103,6.233438491821289
104,9.282617568969727
105,7.9084954261779785
106,6.558685779571533
107,5.54655122756958
108,5.6788787841796875
109,5.364158630371094
110,4.092153072357178
111,8.839332580566406
112,5.6376519203186035
113,6.575919151306152
114,6.960966110229492
115,12.772592544555664
116,28.022151947021484
117,18.531246185302734
118,33.31804656982422
119,36.75883865356445
120,42.5138053894043
121,48.40196990966797
122,39.01604461669922
123,57.64397048950195
124,64.51554107666016
125,74.13533020019531
126,67.48641204833984
127,80.91801452636719
128,59.7741813659668
129,58.59623336791992
130,37.55634307861328
131,46.712650299072266
132,55.983245849609375
133,38.91645812988281
134,44.71537780761719
135,28.827383041381836
136,24.489303588867188
137,19.938724517822266
138,19.84815216064453
139,26.13308334350586
140,18.573429107666016
141,23.893455505371094
142,18.466270446777344
143,30.56525993347168
144,26.625896453857422
145,22.32491683959961
146,13.422268867492676
147,13.724398612976074
148,11.794912338256836
149,13.302155494689941
150,9.663790702819824
151,19.065526962280273
152,24.200374603271484
153,27.23653793334961
154,16.1616153717041
155,12.366292953491211
156,10.485774040222168
157,12.649188041687012
158,13.322433471679688
159,20.233858108520508
160,12.000909805297852
161,18.266380310058594
162,16.079008102416992
163,31.387542724609375
164,45.7623176574707
165,36.83616638183594
166,57.874916076660156
167,48.15488815307617
168,30.446374893188477
169,19.571025848388672
170,29.401592254638672
171,41.85987854003906
172,54.55287170410156
173,35.91494369506836
174,65.96932983398438
175,81.96717834472656
176,90.77946472167969
177,99.88005828857422
178,88.54643249511719
179,85.47442626953125
180,81.64071655273438
181,112.94271087646484
182,148.6370086669922
183,167.21388244628906
184,167.17861938476562
185,89.51453399658203
186,126.57402038574219
187,144.61141967773438
188,187.36195373535156
189,191.2341766357422
190,191.38450622558594
191,210.32965087890625
192,189.0511474609375
193,114.38668823242188
194,123.95780944824219
195,171.7100830078125
196,227.50534057617188
197,146.66709899902344
198,127.1604232788086
199,111.45277404785156
200,107.21788024902344
201,74.33427429199219
202,64.64088439941406
203,55.97780990600586
204,68.70523834228516
205,52.93770217895508
206,53.1775016784668
207,41.842254638671875
